ASD accuracy of state tracking					ASD accuracy of state-driven TMS trigger					ASD latency			
Major state 1	Major state 2	Minor state 1	Minor state 2		Major state 1	Major state 2	Minor state 1	Minor state 2		Major state 1	Major state 2	Minor state 1	Minor state 2
0.9319	0.9237	0.8254	0.8422		0.9321	0.9149	0.8718	0.9452		0.3492	0.3748	0.461	0.4383
0.899	0.8959	0.8222	0.8361		0.9063	0.8705	0.8691	0.9119		0.487	0.481	0.4117	0.5975
0.926	0.8952	0.972	0.9209		0.9419	0.9068	0.9311	0.9117		0.5388	0.4392	0.3758	0.5611
0.924	0.9696	0.9197	0.8748		0.9085	0.9466	0.9508	0.8892		0.4863	0.5545	0.4675	0.6486
0.8772	0.9172	0.9302	0.8325		0.8624	0.8613	0.8484	0.8607		0.4771	0.5953	0.5367	0.4307
0.8342	0.9727	0.8248	0.8368		0.9552	0.9335	0.8495	0.8945		0.4762	0.3999	0.3435	0.5206
0.9256	0.8367	0.8701	0.8255		0.8511	0.9398	0.9154	0.8874		0.615	0.5306	0.575	0.58
0.8811	0.92	0.8163	0.9089		0.8562	0.961	0.8787	0.942		0.4284	0.4804	0.4569	0.3366
0.9428	0.9606	0.8599	0.9232		0.909	0.9006	0.9302	0.9418		0.3834	0.5091	0.4081	0.4696
0.9491	0.8992	0.9189	0.8052		0.9169	0.8654	0.9216	0.8649		0.5517	0.5175	0.3752	0.5707
0.8404	0.976	0.9161	0.7902		0.9104	0.8985	0.9654	0.9045		0.6648	0.5159	0.4782	0.6357
0.8529	0.9708	0.9372	0.9042		0.8686	0.8928	0.9004	0.947		0.4941	0.3615	0.4809	0.6501
0.9173	0.8134	0.8759	0.8944		0.8899	0.9709	0.9359	0.9301		0.6024	0.3331	0.4845	0.3383
0.908	0.9028	0.8788	0.8719		0.9629	0.8887	0.8738	0.8739		0.5485	0.4985	0.4862	0.6451
0.845	0.8282	0.862	0.7923		0.9124	0.9276	0.9162	0.8616		0.515	0.4328	0.5502	0.4785
0.8683	0.8656	0.9421	0.9393		0.9001	0.9039	0.963	0.8726		0.5493	0.4945	0.3898	0.5403
0.9317	0.9273	0.9434	0.9224		0.8953	0.8718	0.9189	0.9399		0.3658	0.3806	0.3522	0.4233
0.9067	0.9207	0.7971	0.9352		0.9089	0.9395	0.8672	0.8541		0.3713	0.5121	0.4003	0.5199
0.9493	0.9084	0.8125	0.8004		0.8874	0.9261	0.945	0.9025		0.5462	0.3471	0.3567	0.6583
0.8737	0.9083	0.835	0.8227		0.9103	0.9119	0.9519	0.9351		0.4451	0.3703	0.5239	0.3654
0.8997	0.8656	0.8989	0.9452		0.87	0.9006	0.924	0.926		0.6034	0.4716	0.6242	0.4633
