STSTPre1	STSTPre3	STSTPre5	STSTPre7	STSTPre9	STSTPre11	STSTPre13	STSTPre13-Initial	STSTPost1	STSTPost3	STSTPost5	STSTPost7	STSTPost9	STSTPost11	STSTPost13	STSTShamPre1	STSTShamPre3	STSTShamPre5	STSTShamPre7	STSTShamPre9	STSTShamPre11	STSTShamPre13	STSTShamPost1	STSTShamPost3	STSTShamPost5	STSTShamPost7	STSTShamPost9	STSTShamPost11	STSTShamPost13
5.043	4.938	4.336	4.343	4.108	3.901	4.504	-0.539	4.962	4.228	3.929	3.394	2.711	2.864	2.814	4.542	4.9	4.774	4.7	4.906	4.592	4.46	4.565	4.832	4.844	4.822	4.513	4.741	4.647
5.137	4.701	4.22	4.1	4.348	4.125	4.754	-0.382	4.905	4.631	4.56	4.314	4.243	3.818	3.65	4.954	4.758	4.684	4.951	5.068	4.994	4.926	4.851	4.79	5.072	4.855	4.942	4.748	5.062
4.137	3.8	4.046	4.025	4.187	3.613	3.89	-0.247	3.841	3.163	3.004	2.669	2.402	2.452	2.293	4.481	4.656	4.517	4.597	4.559	4.521	4.395	4.572	4.396	4.332	4.707	4.334	4.429	4.359
4.802	4.33	4.248	4.124	4.311	3.925	4.113	-0.689	4.545	4.355	4.191	3.775	3.7	3.329	3.346	4.18	4.42	4.112	4.526	4.213	4.216	4.495	4.228	4.363	4.148	4.368	4.145	4.099	4.477
5.465	5.307	5.22	4.777	4.36	4.877	5.063	-0.402	5.125	4.913	4.632	4.338	4.116	3.853	3.935	5.554	5.647	5.325	5.837	5.302	5.255	5.372	5.286	5.517	5.353	5.586	5.468	5.733	5.203
3.701	3.359	3.295	3.182	3.35	3.096	2.975	-0.725	3.135	2.782	2.76	2.037	2.01	1.941	1.695	3.315	3.397	3.387	3.195	3.26	3.186	3.215	3.436	3.319	3.258	3.431	3.402	3.38	3.465
3.28	3.6	3.233	3.169	2.66	3.09	2.745	-0.536	3.022	2.611	2.599	2.306	2.062	1.794	1.653	3.67	3.482	3.65	3.404	3.557	3.624	3.724	3.588	3.654	3.41	3.362	3.421	3.445	3.415
3.451	3.589	3.328	3.33	3.152	3.111	2.69	-0.761	3.335	2.979	2.561	2.329	1.952	1.724	1.708	3.503	3.274	3.322	3.517	3.252	3.405	3.511	3.212	3.318	3.478	3.171	3.271	3.547	3.456
3.8	3.955	3.488	3.582	3.647	3.063	2.824	-0.977	3.132	3.258	2.759	2.142	1.961	1.976	1.965	3.707	3.588	3.63	3.825	3.79	3.806	3.579	3.773	3.595	3.765	3.704	3.83	3.425	3.834
3.939	4	3.82	3.279	2.862	2.957	2.965	-0.974	2.939	3.42	2.972	2.251	2.123	1.783	1.745	4.044	4.036	4.074	3.921	3.959	4.046	3.985	3.771	3.962	3.888	3.717	3.793	4.128	4.024
4.331	3.872	3.46	3.7	3.294	3.242	3.356	-0.975	3.921	3.656	3.226	3.04	2.704	2.429	2.337	3.574	3.628	3.774	3.66	3.753	3.502	3.7	3.844	3.812	3.674	3.526	3.807	3.879	3.889
3.89	3.863	3.171	3.37	3.133	3.127	2.756	-1.134	3.689	3.295	2.759	2.112	2.058	1.752	1.846	3.582	3.468	3.638	3.634	3.616	3.64	3.618	3.6	3.412	3.483	3.325	3.499	3.688	3.282
3.631	3.273	3.421	3.132	3.543	3.207	2.848	-0.783	3.164	2.889	2.711	2.446	1.925	2.159	1.792	3.908	3.946	3.93	4.067	3.797	3.827	3.91	4.083	3.773	3.77	3.983	4.143	3.999	3.823
3.28	3.405	3.384	3.389	2.974	2.778	2.299	-0.981	2.781	2.767	2.561	2.361	2.175	1.981	1.866	3.369	3.381	3.32	3.223	3.58	3.297	3.262	3.417	3.485	3.447	3.224	3.543	3.213	3.266
4.643	4.607	4.205	4.165	3.71	3.678	3.861	-0.782	4.449	4.005	3.536	2.439	2.556	2.307	2.145	4.058	3.98	4.097	4.126	4.159	4.108	4.085	3.979	4.232	4.262	4.166	4.051	3.962	4.241
4.413	4.378	3.888	3.527	3.832	3.684	3.73	-0.682	4.067	3.89	3.283	2.615	2.515	2.306	2.32	3.918	3.939	3.966	3.869	4.022	3.805	3.986	4.216	3.969	3.945	4.13	3.83	3.911	3.944
3.657	3.568	3.263	3.287	2.96	2.764	2.868	-0.789	3.124	3.194	2.604	2.45	2.278	2.185	1.817	3.724	3.714	3.708	3.95	3.946	4.041	3.957	3.833	3.916	3.666	3.741	3.765	3.975	3.922
