NVJ																											
NVJPre1	NVJPre3	NVJPre5	NVJPre7	NVJPre9	NVJPre11	NVJPre13	NVJPost1	NVJPost3	NVJPost5	NVJPost7	NVJPost9	NVJPost11	NVJPost13	NVJShamPre1	NVJShamPre3	NVJShamPre5	NVJShamPre7	NVJShamPre9	NVJShamPre11	NVJShamPre13	NVJShamPost1	NVJShamPost3	NVJShamPost5	NVJShamPost7	NVJShamPost9	NVJShamPost11	NVJShamPost13
0.568	0.537	0.571	0.527	0.596	0.572	0.578	0.543	0.581	0.531	0.537	0.565	0.649	0.62	0.545	0.559	0.546	0.556	0.536	0.538	0.548	0.56	0.543	0.548	0.561	0.541	0.553	0.541
0.466	0.456	0.492	0.467	0.464	0.544	0.504	0.451	0.454	0.478	0.475	0.485	0.547	0.57	0.513	0.515	0.509	0.492	0.496	0.5	0.504	0.506	0.499	0.507	0.506	0.496	0.499	0.499
0.538	0.549	0.521	0.518	0.513	0.6	0.586	0.526	0.545	0.501	0.524	0.538	0.582	0.612	0.548	0.571	0.558	0.563	0.547	0.552	0.565	0.567	0.571	0.554	0.568	0.572	0.557	0.552
0.568	0.535	0.517	0.563	0.577	0.577	0.603	0.556	0.518	0.545	0.545	0.607	0.632	0.65	0.547	0.554	0.552	0.541	0.532	0.535	0.549	0.537	0.549	0.54	0.551	0.533	0.538	0.554
0.463	0.536	0.503	0.474	0.499	0.523	0.512	0.524	0.505	0.497	0.49	0.527	0.613	0.582	0.529	0.533	0.519	0.517	0.528	0.536	0.536	0.514	0.537	0.519	0.538	0.519	0.538	0.522
0.525	0.484	0.514	0.489	0.542	0.529	0.527	0.484	0.479	0.474	0.513	0.548	0.575	0.596	0.515	0.498	0.498	0.493	0.517	0.517	0.501	0.498	0.503	0.517	0.512	0.502	0.492	0.5
0.601	0.589	0.565	0.611	0.647	0.639	0.657	0.627	0.598	0.59	0.588	0.675	0.696	0.702	0.581	0.586	0.564	0.577	0.579	0.585	0.566	0.568	0.578	0.57	0.564	0.584	0.586	0.563
0.475	0.486	0.483	0.477	0.492	0.537	0.506	0.444	0.473	0.467	0.454	0.5	0.527	0.546	0.494	0.499	0.501	0.5	0.507	0.496	0.488	0.493	0.496	0.503	0.496	0.491	0.506	0.495
0.575	0.635	0.623	0.58	0.647	0.633	0.649	0.61	0.576	0.573	0.586	0.685	0.708	0.708	0.645	0.642	0.647	0.645	0.648	0.641	0.645	0.651	0.655	0.629	0.629	0.629	0.64	0.644
0.653	0.641	0.621	0.626	0.658	0.685	0.686	0.64	0.606	0.636	0.638	0.685	0.758	0.723	0.656	0.674	0.648	0.666	0.657	0.663	0.659	0.654	0.659	0.658	0.642	0.671	0.647	0.652
0.473	0.495	0.444	0.436	0.454	0.482	0.493	0.425	0.43	0.45	0.44	0.483	0.542	0.514	0.441	0.452	0.46	0.444	0.459	0.45	0.457	0.453	0.449	0.442	0.444	0.451	0.444	0.441
