Indirect transition BDNS																										IndirectTrans_Sham																									
Pre1	Pre2	Pre3	Pre4	Pre5	Pre6	Pre7	Pre8	Pre9	Pre10	Pre11	Pre12	Pre13	Post1	Post2	Post3	Post4	Post5	Post6	Post7	Post8	Post9	Post10	Post11	Post12	Post13	ShamPre1	ShamPre2	ShamPre3	ShamPre4	ShamPre5	ShamPre6	ShamPre7	ShamPre8	ShamPre9	ShamPre10	ShamPre11	ShamPre12	ShamPre13	ShamPost1	ShamPost2	ShamPost3	ShamPost4	ShamPost5	ShamPost6	ShamPost7	ShamPost8	ShamPost9	ShamPost10	ShamPost11	ShamPost12	ShamPost13
0.009115	0.009281	0.009356	0.008791	0.010119	0.010085	0.010624	0.011746	0.011552	0.011944	0.011969	0.012141	0.012164	0.013053	0.013765	0.013852	0.015212	0.015392	0.016732	0.01697	0.017172	0.018629	0.0184	0.019043	0.018456	0.018613	0.008119	0.009113	0.008672	0.008369	0.008701	0.0081	0.008821	0.008683	0.00843	0.009089	0.00773	0.008177	0.009553	0.008328	0.008981	0.008054	0.008245	0.008066	0.008129	0.009037	0.009675	0.008396	0.008824	0.00759	0.008414	0.008048
0.008382	0.007991	0.007987	0.008279	0.009009	0.009007	0.009913	0.010374	0.010971	0.011434	0.011642	0.011473	0.011581	0.012013	0.012335	0.012255	0.013344	0.013414	0.014805	0.015783	0.016182	0.016551	0.017671	0.016994	0.017676	0.017193	0.008039	0.006755	0.007642	0.007905	0.008538	0.008054	0.009278	0.008863	0.007535	0.008469	0.008097	0.008027	0.007981	0.008272	0.008035	0.007893	0.007937	0.007826	0.00783	0.006846	0.00769	0.007603	0.00818	0.006915	0.008063	0.006826
0.010876	0.011	0.010263	0.011462	0.011023	0.011894	0.012498	0.013007	0.014069	0.014267	0.014173	0.014456	0.014603	0.016176	0.016491	0.017442	0.017051	0.018002	0.019604	0.020906	0.021557	0.022584	0.021497	0.022551	0.022847	0.021597	0.0095	0.008704	0.010015	0.010371	0.010636	0.010295	0.011017	0.011001	0.010364	0.010803	0.011343	0.009584	0.008129	0.010155	0.010822	0.010295	0.00994	0.008992	0.01035	0.009743	0.010053	0.010249	0.010112	0.01025	0.010057	0.010368
0.011549	0.01239	0.01108	0.012026	0.01268	0.012801	0.013205	0.014891	0.015439	0.015474	0.015017	0.015933	0.015963	0.016239	0.017462	0.017184	0.018005	0.01898	0.021221	0.021086	0.021839	0.023397	0.023044	0.023983	0.022893	0.024534	0.010866	0.011248	0.011279	0.010625	0.009779	0.010575	0.012896	0.011769	0.011264	0.010942	0.009519	0.010803	0.008792	0.010562	0.011633	0.010424	0.011016	0.010857	0.011136	0.012552	0.010948	0.010628	0.010477	0.011261	0.010841	0.009153
0.009156	0.008715	0.008974	0.009524	0.010014	0.009908	0.010724	0.010846	0.012344	0.012248	0.012612	0.012362	0.012395	0.013209	0.013177	0.013764	0.014499	0.014817	0.015347	0.017677	0.017569	0.017959	0.018256	0.018854	0.01857	0.01857	0.008738	0.008357	0.00867	0.008275	0.009261	0.008635	0.009994	0.009457	0.008873	0.00798	0.008208	0.008114	0.006835	0.008497	0.009083	0.008182	0.008629	0.00913	0.008798	0.007972	0.008953	0.008707	0.008955	0.00973	0.008566	0.009351
0.011579	0.011687	0.012265	0.01232	0.01198	0.011904	0.014071	0.01411	0.015149	0.015396	0.014907	0.015433	0.01563	0.0183	0.017052	0.018236	0.017586	0.018158	0.0202	0.022683	0.023363	0.02317	0.023218	0.023909	0.024078	0.024135	0.010573	0.008944	0.010603	0.010036	0.010592	0.009997	0.008539	0.010744	0.010461	0.01039	0.010702	0.010969	0.01251	0.010057	0.008973	0.010827	0.010654	0.0103	0.010096	0.009828	0.011127	0.010307	0.010831	0.011	0.010255	0.008678
0.0177	0.01771	0.016786	0.019136	0.01811	0.020163	0.021016	0.02116	0.02308	0.022705	0.024012	0.023715	0.023229	0.025603	0.027095	0.026792	0.027205	0.027939	0.029514	0.033983	0.034562	0.036611	0.034455	0.036575	0.036192	0.036749	0.016399	0.013437	0.015846	0.01556	0.016737	0.016472	0.016648	0.017102	0.014944	0.015266	0.016739	0.016196	0.015273	0.015573	0.016781	0.016372	0.014938	0.015774	0.01625	0.017597	0.014899	0.015001	0.016259	0.014787	0.016006	0.017826
0.012333	0.012775	0.012771	0.01268	0.012352	0.013348	0.014883	0.014886	0.015836	0.016774	0.017121	0.016217	0.016402	0.01907	0.017821	0.019277	0.019451	0.019897	0.020878	0.023517	0.024843	0.025507	0.024042	0.024886	0.026336	0.025714	0.012657	0.011116	0.012308	0.012716	0.012656	0.012683	0.012882	0.014372	0.013057	0.011757	0.010983	0.01335	0.012761	0.012444	0.012249	0.01259	0.012664	0.011957	0.012476	0.012995	0.012867	0.012615	0.011797	0.010863	0.012571	0.01218
0.019159	0.019585	0.018898	0.019692	0.019597	0.020686	0.022414	0.024055	0.024399	0.024239	0.024541	0.026648	0.025606	0.027317	0.029683	0.029251	0.029384	0.032636	0.032278	0.036316	0.0383	0.038757	0.037967	0.038085	0.037841	0.039132	0.017613	0.018678	0.017561	0.017937	0.017669	0.018202	0.018427	0.017425	0.018077	0.018475	0.017028	0.017578	0.018096	0.017973	0.017132	0.018418	0.018069	0.016487	0.018265	0.017582	0.015787	0.017689	0.019151	0.017354	0.018944	0.016027
0.019232	0.018156	0.020188	0.019903	0.021059	0.019875	0.023344	0.02268	0.025557	0.026117	0.025623	0.025364	0.025148	0.030086	0.029808	0.029132	0.029933	0.030616	0.032656	0.037159	0.037086	0.037637	0.040549	0.037904	0.039365	0.040201	0.018043	0.018304	0.01811	0.017708	0.018988	0.01729	0.01545	0.019167	0.017698	0.017205	0.01634	0.017347	0.014771	0.017966	0.01726	0.017445	0.017677	0.017492	0.016666	0.01728	0.01662	0.017115	0.017587	0.01508	0.017873	0.014447
