SFMDuration																												
SFMPre1	SFMPre3	SFMPre5	SFMPre7	SFMPre9	SFMPre11	SFMPre13	SFMPre13-initial	SFMPost1	SFMPost3	SFMPost5	SFMPost7	SFMPost9	SFMPost11	SFMPost13	SFMShamPre1	SFMShamPre3	SFMShamPre5	SFMShamPre7	SFMShamPre9	SFMShamPre11	SFMShamPre13	SFMShamPost1	SFMShamPost3	SFMShamPost5	SFMShamPost7	SFMShamPost9	SFMShamPost11	SFMShamPost13
4.503	4.428	4.264	5.207	4.912	4.314	4.144	-0.359	4.75	4.458	5.155	5.099	4.378	3.854	4.099	5.127	5.289	5.088	5.23	5.092	5.185	5.085	5.292	5.15	5.113	5.134	5.205	5.205	5.222
4.884	5.132	5.075	4.932	4.55	4.446	4.45	-0.434	5.136	4.77	4.91	4.755	4.804	3.992	4.307	5.713	5.597	5.522	5.617	5.559	5.623	5.654	5.706	5.512	5.532	5.558	5.732	5.517	5.621
4.71	4.784	4.426	4.398	4.241	4.096	4.273	-0.437	4.903	4.312	4.744	4.486	4.493	3.913	4.189	4.441	4.416	4.491	4.421	4.477	4.366	4.432	4.546	4.435	4.382	4.362	4.55	4.502	4.465
5.37	5.216	5.001	5.331	5.005	4.506	4.884	-0.485	5.703	4.846	4.673	4.986	3.915	3.617	4.912	5.912	5.77	5.679	5.759	5.953	5.876	5.802	5.762	5.743	5.717	5.921	5.731	5.878	5.799
5.664	5.752	6.034	5.137	5.563	4.821	5.374	-0.29	5.845	5.307	4.997	5.284	5.359	4.409	4.749	6.295	6.324	6.078	6.112	6.293	6.285	6.092	6.106	6.133	6.195	6.316	6.124	6.085	6.086
4.368	4.163	4.131	4.316	4.034	3.74	3.821	-0.547	4.468	4.024	4.009	3.964	4.044	3.508	3.516	4.136	4.17	4.191	4.186	4.014	4.126	4.014	4.024	4.06	4.071	4.176	4.039	4.17	4.123
5.641	5.479	5.988	5.701	5.507	5.53	5.159	-0.482	5.689	5.276	5.58	5.461	5.396	4.976	4.88	6.33	6.345	6.149	6.122	6.214	6.293	6.271	6.119	6.2	6.219	6.226	6.401	6.159	6.134
4.976	4.709	5.155	4.791	4.434	4.307	4.317	-0.659	5.195	4.566	4.758	4.734	3.831	3.57	4.458	4.697	4.692	4.557	4.706	4.755	4.636	4.758	4.675	4.562	4.67	4.64	4.762	4.547	4.594
4.018	4.343	3.965	3.824	4.016	3.647	3.533	-0.485	4.14	3.98	3.762	3.445	3.204	3.582	3.526	4.05	4.061	3.993	3.922	4.018	3.971	4.057	3.913	4.08	3.913	3.926	4.045	3.961	3.996
4.168	4.376	3.736	4.225	4.373	3.648	3.689	-0.479	3.779	3.674	3.637	3.63	3.617	3.389	3.177	4.391	4.243	4.22	4.205	4.222	4.204	4.384	4.225	4.228	4.203	4.235	4.33	4.392	4.309
